Data da busca,Perfil,Moedas analisadas,Moedas aprovadas,Melhor moeda,Melhor score,Excelentes,Boas,Médias,Fracas,Risco baixo,Risco moderado,Risco médio,Risco alto,Tendência alta,Tendência neutra,Tendência baixa,Tendência instável
2026-05-11 12:31:14,Conservador,2000,6,Solana,82.96,0,6,0,0,6,0,0,0,0,6,0,0
2026-05-11 12:38:28,Moderado,2000,38,Solana,84.95,0,10,28,0,37,0,1,0,0,37,0,1
